Номер,Склад,Сайт,Расположение,Описание,"Стоимость, руб./ м² ",Класс,Ссылка на карту,
,,,Ленинградское-Дмитровское шоссе,,,,,
,Заводская 1 Акционерное общество «ОБРАЗ ЖИЗНИ»,https://mecto.pro/#rec719451652,"Московская область, Химки, ул. Заводская, дом 1., в  2 км от МКАД, 10 км от а/п «Шереметьево»","Light Industrial класса А. 
Состоит из 7 корпусов общей площадью 21 750 м2. Первая очередь строительства 3 зания общей площадью 11 904 м2- сдача 2 кв. 2025г.(проданы)  Вторая очередь строительства 4 здания общей площадью 9842 м2 -сдача сентябрь 2026г.  
В продаже 3 360 м2
Высота потолков 8 м. Нагрузка на пол 5т/м2. ", 183 000 из них 128 100  с НДС + 54 900 без НДС ,,https://yandex.ru/maps/213/moscow/hybrid/?ll=37.443607%2C55.900182&utm_source=main_stripe_big&z=18,
1,,,,,,A,,
,"Есипово индустриальный парк
 компания «ХСА» ","https://esipovopark.ru/
","Московская область, г.о. Солнечногорск,Индустриальный парк Есипово, 17А, в 30 км от МКАД и 2км от ЦКАД Ленинградское шоссе
","Light Industrial класса А.  Состоит из 7 корпусов общей площадью 49 860 м2. В продаже Корпус G общей площадью 12009,32 м2 - 12 блоков.                                                                               Завершение строительства Есипово-4 авг.2025 года. 
В продаже 11 000 м2

Высота потолков 8 м. Нагрузка на пол 4т/м2..",160 000 с НДС ,,https://yandex.ru/maps/213/moscow/hybrid/?ll=37.110263%2C56.079549&utm_source=main_stripe_big&z=18,
2,,,,,,A,,
3,"Технокластер «Мега – Молжаниново»
«Страна Девелопмент» ",https://strana-development.ru/molzhaninovo,"г. Москва, в 12 километрах от МКАД,  Ленинградского шоссе, .","Light Industrial класса B. Здание 3 этажа. Общая площадь всего промпарка 36 265 м2 . Завершение строительства 1 кв.2027 года. На данный момент идут работы по строительству фундамента.
2 корпуса, состоящих из 21 блока  различного метража — от 1,6 тыс. м2 (каждый 3-х этажный), с отдельным входом и грузовым лифтом. 
Высота потолков 1 этаж - 9,7 м, 2,3 этаж-6,2 м. Нагрузка на пол: 1 этаж - 5м2, 2 этаж-1,5 т/м2, 3 этаж-0,8 т/м2 ",136 800 -145 200 с НДС,B,https://yandex.ru/maps/213/moscow/hybrid/?ll=37.374208%2C55.918654&utm_source=main_stripe_big&z=17,
4,"Ржавки
«АгроПромкомплектация» строит",https://www.proect-c.ru,"Московская область, Солнечногорский г.о., р.п. Ржавки, мкрн.2
в 20 км от МКАД 15 км до ЦКАД Ленинградского шоссе
","Light Industrial класса B. Здания 2 этажа. 1 очередь-ввод в эксплуатацию 4 квартал 2025 года - 2 блока - 1 продан, 1 в продаже.
2 очередь-ввод в эксплуатацию 3 квартал 2026 года. Пока получают разрешение и планируют начать стройку в конце лета. Будет 6 блоков.
Еще планируют 3 очередь - под себя
Помещения все до 1500 м2.Высота потолков 1 этаж - 10 м, 2 этаж-6 м. Нагрузка на пол: 1 этаж - 7т/м2, 2 этаж-1,2 т/м2 
",160 000 с НДС,B,https://yandex.by/maps/-/CHG0qEyC,
5,"Дмитров — Север
 компания «ХСА» ",https://www.icpark.ru/industrial-city-dmitrov-1/?utm_medium=email&utm_source=Unisender&utm_campaign=349217894&utm_content=start,"Московская область, Дмитровский м.о , деревня Спас-Каменка, в 30 км от МКАД, Дмитровское шоссе","Light Industrial класса А. Состоит из 6 корпусов общей площадью 89 400 м2. Корпус А общая площадь 29 022 м2-36 блоков. Корпус U1- общая площадь 6 285 м2.
Корпус А - 36 блоков от 604,91 м2 до 998,85 м2 -в продаже 29 022 м2

Корпус U1 -2 блока 3019,03 м2 и 3060,88 м2 - в продаже 6286 м2
Высота потолков 8 м. Нагрузка на пол 4т/м2. 

","


150 000-160 000 c НДС


",A,https://yandex.by/maps/?from=mapframe&ll=37.422132%2C55.975651&mode=usermaps&source=mapframe&um=constructor%3Adc90f2ab43970b08148ddb4dd1141fa74deb50db2c72dabf8bb9ca1d209d8df6&utm_source=mapframe&z=8,
6,Отрада (Отрадное),https://www.cian.ru/sale/commercial/312139477/,"Московская область, Красногорск г.о., Отрадное пгт, 6 км от МКАД ,Пятницкое ш.","Light Industrial класса B+. Состоит из 7 корпусов общей площадью 29 300 м2. 
Первая очередь строительства 3 зания общей площадью 11 904 м2- сдача 2 кв. 2025г.(проданы)  Вторая очередь строительства 4 здания общей площадью 9842 м2 -сдача сентябрь 2026г.  Проект на начальном этапе строительства Срок сдачи объекта - 2-ой квартал 2026 года. 
Блоки 1 368 – 17 419 м².                                                          Высота потолков 10,2 м. Нагрузка на пол 7т/м2. 
",165 000-170 000  с НДС,B+,https://yandex.by/maps/213/moscow/hybrid/?ll=37.338802%2C55.873935&utm_source=main_stripe_big&z=18,
7,"Light Industrial
Egas group",https://khimki.cian.ru/sale/commercial/314249208/,"Московская область,  Химки, Планерная мкр,  7 км до МКАД ш. Новосходненское ","Light Industrial класса B+.  Проект в стадии строительства. Два здания площадью 1457 м2 и 1350 м2. Ввод в эксплуатацию - 4 кв 2025. Высота потолков 10,2 м. Нагрузка на пол 7т/м2.

",170 000 УСН,B+,https://yandex.ru/maps/213/moscow/hybrid/?ll=37.365315%2C55.926094&utm_source=main_stripe_big&z=19,
8,"Производственно
складского комплекса класса А

 ООО «ИК ИМС» совместно с АО «Шерризон» реализует",https://www.avito.ru/himki/kommercheskaya_nedvizhimost/sklad_a_67_500_m_vozle_ap_sheremetevo_4302951376?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjSTdRWE5DTEdrSzFiR1JuIjt9jel8Cj8AAAA,"Московская область, г.о. Химки, с.п. Луневское, в районе д. Исаково 13 км от МКАД, Ленинградское шоссе","Складской комплекс класса А. Общая площадь складов СК1 67 500 м2 и СК2 25 385 м2.Планируемый ввод в эксплуатацию: конец. 2025 г. – начало 2026 г. (поэтапно).Пpодажа блoками от ~ 10 000 кв. м.


Все площади здания СК2 проданы 
Ориентировочный срок ввода в эксплуатацию – 2-3 кв. 2025 г. (корпус здания – готовность 90% )
Высота потолков 12 м. Нагрузка на пол 7т/м2. 2 здания.", 160 000 с НДС,A,https://yandex.ru/maps/213/moscow/hybrid/?ll=37.387153%2C55.983318&utm_campaign=desktop&utm_medium=search&utm_source=maps&z=17,
9,"Производственно-складское здание
 САНСИТИ (SUN CITY) Промпарк ""Носово""",https://khimki.cian.ru/sale/commercial/316188338/,"Московская область,  Химки, д.Нocoвo , в 18 км от МКАД ш. Ленинградское ","Складской комплекс класса Б. Высота потолков 10 м. Нагрузка на пол 5т/м2.                                                                Общая площадь 5000 кв.м. Под строительство(Built-to-suit. Строительство данного здания займет от 5-7 месяцев в зависимости от наполнения.
Торг возможен",140 000  (УСН),B,https://yandex.ru/navi?whatshere%5Bpoint%5D=37.409965528535906%2C56.00198380346953&whatshere%5Bzoom%5D=16.110332&ll=37.40934092893747%2C56.0018973692669&z=16.110332&si=ukdua7mhqqzqykh7dq40phgzc0,
10,"Лихачевский
Компания «ПСО-13»",,"Московская обл., Химки, Малый проезд, 3, 2 км от  МКАД
 ",Складской комплекс класса А.  Общая площадь 20 520 м2. Продается с якорным арендатором Деловые линии. Высота потолков 12 м. Нагрузка на пол 7т/м2.,185 730  с НДС,A,https://yandex.by/maps/-/CHwmbNK2,
11,ПСК в Менделеево,https://solnechnogorsk.cian.ru/sale/commercial/298826764/,"
Московская область, Солнечногорск городской округ, Менделеево рп, в 30 км от МКАД, Ленинградское шоссе","Производственно-складской корпус класса B. Общей площадью 5 220 м2.
Строительство склада под клиента (Built-to-suit) .
Дата доступа: через 7-8 мес. Высота потолков  до 10м.  Нагрузка на пол 5т/м2. . ",140 000 с НДС,B,https://yandex.by/maps/-/CHwv5K2c,https://solnechnogorsk.cian.ru/sale/commercial/320534941/
12,"Глазово
застройщик ООО «Аппропертис Лобня»
Концепцию проекта разработала компания SkladmanUSG, она же выступила генпроектировщиком",https://www.cian.ru/sale/commercial/307665382/?ysclid=mdx127wcwe545494659,"Московская область, Дмитровский муниципальный округ, Глазово деревня, 30 км от МКАД","Пол: бетонный с антипылевым покрытием. Высота потолков: 1 этаж- 6 м; 2 этаж-5 м. Нагрузка на пол: 1 этаж- 5 т/м²; 2 этаж-2 т/м². Электрическая мощность: от 150 кВт на блок. 
 Открытая планировка + мезонин+ офисные блоки.
Ввод объекта в эксплуатацию конец 2025 г. ","от 130800
 УСН",A,https://yandex.ru/maps/-/CHdbNGZs,
13,"Складской комплекс класса ""А"" в деревне Радумля
""Мультиколд""",https://solnechnogorsk.cian.ru/sale/commercial/311647642/,"Московская обл, г Солнечногорск, деревня Радумля, тер Радумльский квартал №2, 31 км от МКАД","Общая площадь:  22700 кв. м., из них: 17 173 кв.м. - площадь склада, 3 220 кв.м. - площадь мезонинов (с двух сторон), 900 кв.м. - площадь административно- бытовых помещений.
Высота потолков 12 м
Электрическая мощность: 1,3 МВт, 3 категория, резервное питание от ДГУ - 450 кВт.
Вода: 25 м3 в сутки.
Тепло: 1,8 гкал/час.
Доступ на пол для монтажа стеллажей: 1-й квартал 2025 года.
Планируемый срок ввода в эксплуатацию: 2-й квартал 2025 года.","154185 
УСН",А,https://yandex.ru/maps/-/CHdbRYI7,
14,Произвoдственнo-склaдская база в дeр. Пeрепечинo,https://www.avito.ru/himki/kommercheskaya_nedvizhimost/sklad_v_perepechino_7241964821?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxOEIwV3V5dU9IZktQQUZHIjt9xMQ7uT8AAAA,"Московская обл., г.о. Химки, д. Перепечино, 20 км от МКАД","Технические характеристики:
-склад: 1440 кв.м.
-офис: 180кв.м.
-открытая площадка: 2000 кв.м
-выделенная электрическая мощность: 150 кВт.
-высота потолков: 6 м.
-нагрузка на пол до 4 тонн на 1 кв.м.","130000 
УСН",B,https://yandex.ru/maps/-/CHdbRTi5,
,,,,,,,,
,,,Новорижское шоссе,,,,,
15,"Смарт парк Новая Рига
Smart Development Group",https://smart-parks.ru/riga/," Москва, Новорижское ш., 10 км от МКАД
 городской округ Красногорск, поселок Ильинское-Усово","Складской комплекс класса А. Высота потолков 12 м. Нагрузка на пол 7т/м2. Общая площадь склада 27 000 м2
Объект в стадии строительства, готовность ко въезду — II квартал 2025 г. Продажа всей площади.
",138 000 с НДС,А,https://yandex.ru/navi/213/moscow/hybrid/?ll=37.226945%2C55.773630&z=17,
16,"Складское помещение в ""Ориентир Запад"" 

Компания «Ориентир» ",https://www.cian.ru/sale/commercial/313916641/,"Московская область, Истра муниципальный округ, МПСК Ориентир-Запад территория, 3
Новорижское шоссе, 34 км от МКАД","Строительство склада под клиента (Built-to-Suit). Готовность ко въезду от 7-ми месяцев. 
Складское помещение 17 000 м² в ""Ориентир Запад"" 
Высота потолков: 12.9 м; 
- Нагрузка на пол: 9 т/ кв.м; 
",144 000 c НДС,А,https://yandex.ru/navi/?l=sat%2Cskl&ll=36.879202%2C55.830851&z=17,