Признак,Вес,Варианты,,,,Итог,Комментарий,,
,,№,Описание,Значение,Выбор,,,,
Близость к МКАД (по автодорогам до ближайшей развязки с МКАД),100,1,0-5 км,10,2,70%,,"Если близко (до 10 км) от МКАД, то неважно, какое расположение",
,,2,5-15 км,7,,,,,
,,3,15-30 км,4,,,,,
,,4,более 30 км,1,,,,,
,,,,,,,,,
Близость к федеральным радиальным трассам или ЦКАД,50,1,Первая линия с примыканием через муниципальную дорогу,10,2,89%,,Без придорожной полосы вне границ нас пункта???,
,,2,До 1 км,8,,,,,
,,3,1-5 км,5,,,,,
,,4,Более 5 км,3,,,,,
,,,,,,,,,
Направление (для участков далее 10 км от МКАД),100,1,СЗ-ЮЗ-ЮВ,10,1,100%,,,
,,2,В,5,,,,,
,,3,СВ-С,3,,,,,
,,,,,,,,,
Близость к РЦ,30???,,,,,,Важно для очень узкого круга клиентов,"Да, сейчас более актуальны промышленники, и им нужны промыленные ВРИ. РЦ отсасывают трудовые ресурсы в радиусе 5 км.",
,,,,,,,,,
Ровный рельеф (до 1 м на 100 м),100,1,Да,10,1,100%,,Воду и карсты убрали - это поймешь только из геологии,
,,2,Нет,5,,,,,
,,,,,,,,,
,,,,,,,,,
Наличие общественного транспорта,,,,,,,Собственники объектов могут организовать шаттл,"Важно, чтобы рядом был населенный пункт????",
,,,,,,,,,
"Подъезды от шоссе с твердым покрытием, не через населенные пункты, не через чужие участки, без ограничений для большегрузов",100,1,Да,10,1,100%,,"Ценность 150 (очень важно), разные значения по разным ответам - сервитут / нп / прочее",Согласованные для будущего ВРИ и объема использования примыкания и прочие ТУ
,,2,Нет,5,,,,,
,,,,,,,,,
Категория,100,1,Промышленность / н.п.,10,1,100%,,Без категории вообще нечего делать,
,,2,Сельхоз / Рекреация,0,,,,,
,,,,,,,,,
Наличие складских / производственных ВРИ,100,1,В основных,10,1,100%,,"Важно не только складские, но и производственные",
,,2,В условных,6,,,,,
,,3,Отсутствуют,0,,,,,
,,,,,,,,,
Обеспеченность (что такое обеспеченность???) электричеством на границе участка,100,1,"Более 150 кВт на 0,2 га",10,1,100%,,"Нормой для производственников считаем 150 кВт на 1000 кв м площади помещений или на 0,2 га участка",
,,2,"Менее 150 кВт на 0,2 га",6,,,,,
,,,,,,,,,
Наличие растительности,,,,,,,,,
,,,,,,,,,
Отношение площадей хранения (по полу) к площади участка - после анализа по ИСОГД,,,,,,,,Смотреть примерный генплан и возможные пятна застройки. Скругленные участки и треугольники - потери площади пятен застройки. ЗОУИТы и КРТ - потери. ЗОУИТы могут ограничивать въезд на участок,
,,,,,,,,,
"Соседи - жители, ",,,,,,,,,
"СЗЗ от соседей, включая отсутствующие в ИСОГД",,,,,,,,,
,,,,,,,,,
Итоговый балл,,,,,,63%,,,